sample,GIPS_scaled,GIPS_group
MB-6363,0.2962962962962963,Low
MB-7007,0.4074074074074074,Low
MB-7009,0.4444444444444444,Moderate
MB-7012,0.4074074074074074,Low
MB-7014,0.4444444444444444,Moderate
MB-7030,0.037037037037037035,Low
MB-7031,0.8518518518518519,High
MB-7036,0.7037037037037037,High
MB-7038,0.3333333333333333,Low
MB-7039,0.5185185185185185,Moderate
MB-7049,0.18518518518518517,Low
MB-7055,0.4444444444444444,Moderate
MB-7073,0.6666666666666666,High
MB-7084,0.18518518518518517,Low
MB-7087,0.6666666666666666,High
MB-7090,0.2222222222222222,Low
MB-7111,0.5925925925925926,High
MB-7114,0.5185185185185185,Moderate
MB-7119,0.4444444444444444,Moderate
MB-7122,0.25925925925925924,Low
MB-7145,0.5555555555555556,Moderate
MB-7151,0.2962962962962963,Low
MB-7154,0.48148148148148145,Moderate
MB-7155,0.7777777777777778,High
MB-7159,0.4444444444444444,Moderate
MB-7165,0.7037037037037037,High
MB-7198,0.2962962962962963,Low
MB-7205,0.7037037037037037,High
MB-7208,0.6666666666666666,High
MB-7225,0.48148148148148145,Moderate
MB-7258,0.5555555555555556,Moderate
MB-7267,0.6666666666666666,High
MB-7269,0.48148148148148145,Moderate
MB-7270,0.6296296296296297,High
